;purchease_cat;rmw_cat;description
32;Plats préparés;PLAT_PREPARE;TABOULE AUX TOMATES
33;Epicerie Sucrée;BOISSONS;COOKIES CHOCOLAT
34;Produits Laitiers, Lait, Oeufs;BOISSONS;MIMOLETTE 40%
35;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;ROQUEFORT AOP 52 %
36;Maison;BOISSONS;24646499 LEMON CHAISE PLIANTE
37;Maison;BOISSONS;24646499 LEMON CHAISE PLIANTE
38;Boissons;BOISSONS;1 5L LIMONADE CRF
39;Epicerie Sucrée;BOISSONS;200g SCE OSEILLE
40;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;4 BIG CHOC VAN/CHO
41;Épicerie Salée;BOISSONS;4/4 POELEE / PRINT
42;Epicerie Sucrée;BOISSONS;400G POLPA FINE
43;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
44;Boulangerie;BOISSONS;BAGUETTE 250G
45;Produits Laitiers, Lait, Oeufs;POISSONNERIE;PAU SAUMON A/P EQC
46;Épicerie Salée;BOISSONS;CAROL PISTO BICARB
47;Entretien;BOISSONS;LOT VAISSELLE
48;Produits Laitiers, Lait, Oeufs;BOISSONS;NAGEURS A CLEFS
49;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;250G PL BEUR DS PR
50;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
51;Petit-Déjeuner;BOISSONS;40 DOS ARABICA CRF
52;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
53;Entretien;BOISSONS;50G PERSIL DAREGAL
54;Boulangerie;VIANDE;BAGUETTE CARREFOUR
55;Boulangerie;BOISSONS;CIABATTA 250G
56;Épicerie Salée;LEGUMES;CONFIT AIL
57;Epicerie Sucrée;BOISSONS;MACARON PISTACHE
58;Epicerie Sucrée;BOISSONS;TRIANON X2
59;Entretien;BOISSONS;OKAY COLLECT ET 12
60;Maison;BOISSONS;FOIRE GADGETS MENA
61;Viande;BOISSONS;OTAL NON ALIMENTAIRE
62;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
63;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
64;Boissons;EPICERIE_SALEE;ABV BLANC 1L
65;Boulangerie;VIANDE;BAGUETTE CARREFOUR
66;Epicerie Sucrée;EPICERIE_SUCREE;SUCRALOSE TABLETS
67;Maison;EPICERIE_SUCREE;SAC CABAS MATIERE RECYCLE
68;Textile;HYGIENE_BEAUTE;PRO CHAUSSURE JEOPARD 1 FE
69;Textile;EPICERIE_SUCREE;FEM LAURIS DERBY
70;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
71;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
72;Boulangerie;EPICERIE_SUCREE;BAGU CAMPAGNE 250G
73;Épicerie Salée;PRODUITS_SURGELES;AUCHAN LENTILLES G OIE 530
74;Viande;BOULANGERIE;HERTA ALLUMETTES FUMEES 2X
75;Viande;VIANDE;EPAULE PORC SANS OS
76;Légumes;EPICERIE_SUCREE;PDT CONSO GROS CALIBRE VRA
77;Textile;PRODUITS_LAITIERS_LAIT_OEUFS;BAVOIR TABLIER 2EME AGE 37
78;Bébé;EPICERIE_SUCREE;POREE BABYCALIN LOTX3 BAVO
79;Épicerie Salée;EPICERIE_SUCREE;COUVERTURE OLAIRE 75/150C
80;Hygiène et Beauté;EPICERIE_SUCREE;08 IE DORS BIEN COL CLAUDINE
81;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
82;Maison;EPICERIE_SALEE;IE DORS BIEN LAPIN/CHATON
83;Maison;EPICERIE_SUCREE;IE DBIEN OURS/SOURIS/ELEPH
84;Textile;EPICERIE_SALEE;8 IE DOUDOUNE LIGHT CAPUCHE
85;Textile;HYGIENE_BEAUTE;IE BODY US MC
86;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
87;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
88;Textile;HYGIENE_BEAUTE;IE LOT 7 BODIES US ML
89;Textile;HYGIENE_BEAUTE;LOT 5 CHAUSSETTES 2FANT+3U
90;Textile;HYGIENE_BEAUTE;LOT 5 CHAUSSETTES 2FANT+3U
91;Hygiène et Beauté;PRODUITS_SURGELES;AUCHAN BROSSE A DENTS X3
92;Viande;BOISSONS;FRP CHAUSSURE JEOPARD 1 FE
93;Viande;BOISSONS;FFM LAURIS DERBY
94;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;AUCHAN TIRAMISU 4X80G
95;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;AUCHAN TIRAMISU 4X80G
96;Boulangerie;BOULANGERIE;BAGU CAMPAGNE 250G
97;Épicerie Salée;BOULANGERIE;AUCHAN LENTILLES G OIE 530
98;Viande;BOISSONS;HERTA ALLUMETTES FUMEES 2X
99;Viande;VIANDE;EPAULE PORC SANS OS
100;Légumes;VIANDE;PDT CONSO GROS CALIBRE VRA
101;Entretien;BOISSONS;BAVOIR TABLIER 2EME AGE
102;Bébé;BOISSONS;POREE BABYCALIN LOTX3 BAVO
103;Épicerie Salée;BOISSONS;COUVERTURE POLAIRE 75/150C
104;Épicerie Salée;BOISSONS;COUVERTURE POLAIRE 75/150C
105;Loisirs;BOISSONS;IE DORS BIEN COL CLAUDINE
106;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
107;Maison;BOISSONS;IE DORS BIEN LAPIN/CHATON
108;Maison;BOISSONS;IE DBIEN OURS/SOURIS/ELEPH
109;Hygiène et Beauté;BOISSONS;IE DOUDOUNE LIGHT CARUCHE
110;Hygiène et Beauté;HYGIENE_BEAUTE;TF X3 BODY US MC
111;Textile;BOISSONS;IE X7 BODIES US ML
112;Textile;BOISSONS;LOT 5 CHAUSSETTES 2FANT+3U
113;Textile;BOISSONS;LOT 5 CHAUSSETTES 2FANT+3U
114;Hygiène et Beauté;BOULANGERIE;AUCHAN BROSSE A DENTS X3
115;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
116;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
117;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
118;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
119;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
120;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
121;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
122;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
123;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
124;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
125;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
126;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
127;Boissons;BOISSONS;ABV BLANC 1L
128;Boulangerie;VIANDE;BAGUETTE CARREFOUR
129;Epicerie Sucrée;BOISSONS;SUCRALOSE TABLETS
130;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
131;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
132;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
133;Boulangerie;VIANDE;BAGUETTE CARREFOUR
134;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
135;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
136;Viande;VIANDE;JAMBON SEC ITALIEN
137;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
138;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
139;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
140;Boissons;BOISSONS;Eau de source
141;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
142;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
143;Fruits;BOISSONS;CLEMENTINE A FEUILLE
144;Hygiène et Beauté;HYGIENE_BEAUTE;1 Art x 2 40
145;Fruits;BOISSONS;BANANE
146;Entretien;HYGIENE_BEAUTE;1 Art x 1 35
147;Légumes;BOISSONS;CAROTTE
148;Légumes;BOISSONS;PDT CELTIAN
149;Fruits;BOISSONS;CITRON
150;Entretien;HYGIENE_BEAUTE;1 Art x 1 60
151;Épicerie Salée;BOISSONS;1/2 OLIVE FARCIES
152;Animaux;EPICERIE_SUCREE;10X TWIX 500G
153;Epicerie Sucrée;BOISSONS;200G X10 FROM FOND
154;Produits Surgelés;EPICERIE_SUCREE;600G FRITE AU FOUR
155;Boissons;BOISSONS;ABV BLANC 1L
156;Boulangerie;VIANDE;BAGUETTE CARREFOUR
157;Viande;BOISSONS;BOUDIN BLANC PORTO
158;Viande;PRODUITS_LAITIERS_LAIT_OEUFS;CRF FILET DE BACON
159;Produits Laitiers, Lait, Oeufs;BOISSONS;PATE EN CROUTE
160;Plats préparés;EPICERIE_SALEE;RISOTTO CHAMP PLT
161;Viande;BOISSONS;S HACH15% CRF 125G
162;Viande;FRUITS;SCISSON SEC PP CRF
163;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;250G PL BEUR DS PR
164;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
165;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
166;Entretien;EPICERIE_SUCREE;Persil ciselé surgelé
167;Boulangerie;VIANDE;BAGUETTE CARREFOUR
168;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
169;Épicerie Salée;LEGUMES;CONFIT AIL
170;Epicerie Sucrée;EPICERIE_SUCREE;MACARON PISTACHE
171;Epicerie Sucrée;EPICERIE_SUCREE;TRIANON X2
172;Entretien;BOULANGERIE;OKAY COLLECT ET 12
173;Maison;EPICERIE_SUCREE;FOIRE GADGETS MENA
174;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
175;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
176;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
177;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
178;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
179;Boissons;EPICERIE_SALEE;75CL GROS PLANT
180;Légumes;FRUITS;AVOCAT PIECE
181;Viande;EPICERIE_SUCREE;COTE PC X2
182;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
183;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
184;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
185;Viande;EPICERIE_SUCREE;RABLE LAPIN X4
186;Viande;FRUITS;SAUCISSE SECHE CBE
187;Textile;EPICERIE_SALEE;BARETTE ULT-CONFOR
188;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;GERVAIS YOGHURT FR
189;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;GERVAIS YOGHURT FR
190;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;GERVAIS YOGHURT FR
191;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;GERVAIS YOGHURT FR
192;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;SLA PERLE 125GX4 C
193;Fruits;EPICERIE_SALEE;1L PJ ORANGE MEDIT
194;Fruits;EPICERIE_SALEE;1L PJ ORANGE MEDIT
195;Légumes;EPICERIE_SALEE;M/BIO AUBERGINE
196;Légumes;EPICERIE_SALEE;"BIO""COURGETTE ROND"
197;Boissons;EPICERIE_SUCREE;PERRIER 6X1L
198;Boissons;EPICERIE_SUCREE;VITTEL 6X1 5L
199;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;VIVA BK1L 
200;Epicerie Sucrée;EPICERIE_SALEE;1KG FARIN/BLE FLUI
201;Légumes;EPICERIE_SUCREE;VOITURE DISNEY
202;Viande;EPICERIE_SALEE;2 TR JAMBON BIO AC
203;Boulangerie;BOULANGERIE;PAIN CEREALE MBIO
204;Hygiène et Beauté;EPICERIE_SALEE;MPX MCH BTE SPE
205;Hygiène et Beauté;EPICERIE_SALEE;MPX MCH BTE SPE
206;Boissons;EPICERIE_SUCREE;LONGUE CONSERVATIO
207;Fruits;EPICERIE_SALEE;RAISIN BLANC
208;Bébé;EPICERIE_SUCREE;MBIO HUILE ARGAN
209;Entretien;EPICERIE_SALEE;LES2VACH FLAN BIO
210;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;6 OEUFS MONOP BIO
211;Fruits;EPICERIE_SALEE;CITRON JAUNE
212;Entretien;EPICERIE_SUCREE;Papier aluminium structure renforcée
213;Boissons;EPICERIE_SALEE;1L PJ ORANGE MEDIT
214;Boissons;EPICERIE_SALEE;1L PJ ORANGE MEDIT
215;Fruits;EPICERIE_SUCREE;CLEMENTINE FEUILLE
216;Épicerie Salée;EPICERIE_SUCREE;SCE PESTO TOMATES
217;Épicerie Salée;EPICERIE_SALEE;Barilla Sauce  A Rechauffer Epicerie Non Allege Pesto Rosso Pot Verre 1 X 200 Gr
218;Épicerie Salée;EPICERIE_SUCREE;GNOCCHI A POELER 3
219;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MONOP COMTE 250G
220;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;VIVA BK1L 
221;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;SLA PERLE DE LAIT
222;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;SLA PERLE DE LAIT
223;Épicerie Salée;EPICERIE_SUCREE;1KG SPAGHETTI QS
224;Épicerie Salée;EPICERIE_SUCREE;90G NOUILLES TERIY
225;Plats préparés;PLAT_PREPARE;67GNOUIL POULET TE
226;Plats préparés;PLAT_PREPARE;67GNOUIL POULET TE
227;Épicerie Salée;EPICERIE_SALEE;250G RIZ EXPRESS
228;Épicerie Salée;EPICERIE_SALEE;250G RIZ EXPRESS
229;Épicerie Salée;EPICERIE_SALEE;250G RIZ EXPRESS
230;Entretien;EPICERIE_SUCREE;MX FILM ETIRAB2EN1
231;Épicerie Salée;EPICERIE_SALEE;1KG RIZ LG BLANCHI
232;Légumes;EPICERIE_SUCREE;BGIEFUMEURBORDEAUX
233;Légumes;EPICERIE_SUCREE;BGIEFUMEURBORDEAUX
234;Légumes;EPICERIE_SUCREE;BGIEFUMEURBORDEAUX
235;Légumes;EPICERIE_SUCREE;BGIEFUMEURBORDEAUX
236;Viande;EPICERIE_SUCREE;FG CND SO 30%MCX 3
237;Viande;EPICERIE_SUCREE;FG CND SO 30%MCX 3
238;Epicerie Sucrée;BOULANGERIE;Les Boudoirs Brossard
239;Epicerie Sucrée;BOULANGERIE;Les Boudoirs Brossard
240;Epicerie Sucrée;EPICERIE_SUCREE;LT4 COMPOTE POMME
241;Epicerie Sucrée;FRUITS;4XCOMPOTE POM/P BT
242;Epicerie Sucrée;FRUITS;4X100G COMPTE POM
243;Petit-Déjeuner;EPICERIE_SALEE;CONF FRAISE MPX
244;Épicerie Salée;EPICERIE_SALEE;Huile de tournesol, naturellement riche en vitamine E, pour friture et assaisonnement
245;Epicerie Sucrée;PETIT_DEJEUNER;450G POUDRE CACAO
246;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;250G PL BEUR DS PR
247;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
248;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
249;Légumes;EPICERIE_SUCREE;50G PERSIL DAREGAL
250;Boulangerie;VIANDE;BAGUETTE CARREFOUR
251;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
252;Épicerie Salée;LEGUMES;CONFIT AIL
253;Epicerie Sucrée;EPICERIE_SUCREE;MACARON PISTACHE
254;Epicerie Sucrée;EPICERIE_SUCREE;TRIANON X2
255;Entretien;BOULANGERIE;OKAY COLLECT ET 12
256;Maison;EPICERIE_SUCREE;FOIRE GADGETS MENA
257;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
258;Boissons;BOISSONS;Eau de source
259;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
260;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
261;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
262;Boissons;BOISSONS;Eau de source
263;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
264;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
265;Boissons;BOISSONS;1 COCA-COLA (M)
266;Boissons;BOISSONS;COCA COLA
267;Boissons;BOISSONS;1 SAN PELLEGRINO 50CL
268;Bébé;EPICERIE_SALEE;E+P GOURMAND
269;Viande;BOISSONS;BUFFET PLAT
270;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
271;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
272;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
273;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
274;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
275;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
276;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
277;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
278;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
279;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
280;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
281;Boissons;BOISSONS;Eau de source
282;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
283;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
284;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
285;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
286;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
287;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
288;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
289;Boissons;EPICERIE_SALEE;75CL GROS PLANT
290;Légumes;FRUITS;AVOCAT PIECE
291;Viande;EPICERIE_SUCREE;COTE PC X2
292;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
293;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
294;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
295;Viande;EPICERIE_SUCREE;RABLE LAPIN X4
296;Viande;FRUITS;SAUCISSE SECHE CBE
297;Textile;EPICERIE_SALEE;BARETTE ULT-CONFOR
298;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
299;Boissons;BOISSONS;Eau de source
300;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
301;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
302;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
303;Boissons;BOISSONS;Eau de source
304;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
305;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
306;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
307;Boissons;BOISSONS;Eau de source
308;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
309;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
310;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
311;Boissons;BOISSONS;Eau de source
312;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
313;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
314;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
315;Boissons;BOISSONS;Eau de source
316;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
317;Boissons;BOISSONS;Eau de source
318;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
319;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
320;Maison;BOISSONS;SAC CABAS MATIERE RECYCLE
321;Textile;HYGIENE_BEAUTE;PRO CHAUSSURE JEOPARD 1 FE
322;Textile;BOISSONS;FEM LAURIS DERBY
323;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;AUCHAN TIRAMISU 4X80G
324;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;AUCHAN TIRAMISU 4X80G
325;Boulangerie;BOULANGERIE;BAGU CAMPAGNE 250G
326;Épicerie Salée;BOULANGERIE;AUCHAN LENTILLES G OIE 530
327;Viande;BOISSONS;HERTA ALLUMETTES FUMEES 2X
328;Viande;VIANDE;EPAULE PORC SANS OS
329;Légumes;VIANDE;PDT CONSO GROS CALIBRE VRA
330;Textile;BOISSONS;BAVOIR TABLIER 2EME AGE 37
331;Bébé;BOISSONS;POREE BABYCALIN LOTX3 BAVO
332;Loisirs;BOISSONS;IE DORS BIEN COL CLAUDINE
333;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
334;Maison;BOISSONS;IE DORS BIEN LAPIN/CHATON
335;Maison;BOISSONS;IE DBIEN OURS/SOURIS/ELEPH
336;Textile;BOISSONS;IE DOUDOUNE LIGHT CAPUCHE
337;Textile;HYGIENE_BEAUTE;IE BODY US MC
338;Textile;BOISSONS;IE X7 BODIES US ML
339;Textile;BOISSONS;IE X7 BODIES US ML
340;Textile;BOISSONS;IE LOT 7 BODIES US ML
341;Viande;BOISSONS;8 LOT 5 CHAUSSETTES 2FANT+3U
342;Textile;BOISSONS;LOT 5 CHAUSSETTES 2FANT+3U
343;Hygiène et Beauté;BOULANGERIE;AUCHAN BROSSE A DENTS X3
344;Produits Laitiers, Lait, Oeufs;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
345;Entretien;EPICERIE_SALEE;BOEUF PRX ROND 6E
346;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
347;Épicerie Salée;BOISSONS;PANTS PLUS NIGHT L
348;Maison;EPICERIE_SUCREE;SAC CABAS MATIERE RECYCLE
349;Textile;HYGIENE_BEAUTE;PRO CHAUSSURE JEOPARD 1 FE
350;Textile;EPICERIE_SUCREE;FEM LAURIS DERBY
351;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
352;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
353;Boulangerie;EPICERIE_SUCREE;BAGU CAMPAGNE 250G
354;Épicerie Salée;PRODUITS_SURGELES;AUCHAN LENTILLES G OIE 530
355;Viande;BOULANGERIE;HERTA ALLUMETTES FUMEES 2X
356;Viande;VIANDE;EPAULE PORC SANS OS
357;Légumes;EPICERIE_SUCREE;PDT CONSO GROS CALIBRE VRA
358;Textile;PRODUITS_LAITIERS_LAIT_OEUFS;BAVOIR TABLIER 2EME AGE 37
359;Bébé;EPICERIE_SUCREE;POREE BABYCALIN LOTX3 BAVO
360;Maison;EPICERIE_SUCREE;COUVERTURE POLAIRE 75/150C
361;Loisirs;EPICERIE_SUCREE;IE DORS BIEN COL CLAUDINE
362;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
363;Maison;EPICERIE_SALEE;IE DORS BIEN LAPIN/CHATON
364;Maison;EPICERIE_SUCREE;IE DBIEN OURS/SOURIS/ELEPH
365;Textile;EPICERIE_SALEE;IE DOUDOUNE LIGHT CAPUCHE
366;Textile;HYGIENE_BEAUTE;IE BODY US MC
367;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
368;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
369;Textile;HYGIENE_BEAUTE;IE LOT 7 BODIES US ML
370;Textile;HYGIENE_BEAUTE;LOT 5 CAUSSETTES 2FANT+3U
371;Textile;HYGIENE_BEAUTE;LOT 5 CHAUSSETTES 2FANT+3U
372;Hygiène et Beauté;PRODUITS_SURGELES;AUCHAN BROSSE A DENTS
373;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
374;Boissons;BOISSONS;Eau de source
375;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
376;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
377;Viande;BOULANGERIE;HERTA LARDONS FUMES
378;Viande;BOULANGERIE;HERTA LARDONS FUMES
379;Boissons;LEGUMES;Ste marguerite e.gaz.pet 1l25
380;Boissons;EPICERIE_SUCREE;CRISTALINE PET 6*1 5
381;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
382;Boissons;BOISSONS;Eau de source
